study_time_hours,attendance_percent,previous_grade,study_efficiency,study_time_x_previous_grade,attendance_x_sleep,final_grade
2.8,80.9,78.2,226.52,218.96,566.3000000000001,2
4.3,82.5,61.0,354.75,262.3,445.50000000000006,2
5.3,90.6,75.5,480.17999999999995,400.15,588.9,3
4.8,84.7,70.2,406.56,336.96,499.7300000000001,4
1.9,78.2,79.4,148.58,150.86,617.7800000000001,2
6.0,72.4,61.4,434.40000000000003,368.4,405.44,3
4.6,91.2,60.3,419.52,277.37999999999994,784.3199999999999,4
5.0,84.7,66.7,423.5,333.5,804.65,4
4.4,82.6,58.1,363.44,255.64000000000001,669.06,3
2.5,81.4,81.8,203.5,204.5,529.1,3
4.8,91.6,91.0,439.67999999999995,436.8,476.32,3
3.2,71.4,69.0,228.48000000000002,220.8,478.38000000000005,3
6.2,67.5,86.2,418.5,534.44,513.0,4
6.1,100.0,92.0,610.0,561.1999999999999,490.00000000000006,4
2.6,81.7,82.7,212.42000000000002,215.02,596.41,1
2.9,81.7,63.3,236.93,183.57,514.71,2
3.0,90.9,74.6,272.70000000000005,223.79999999999998,509.04,3
3.3,79.0,70.7,260.7,233.31,655.7,2
3.5,74.7,62.0,261.45,217.0,403.38000000000005,1
2.2,94.6,65.9,208.12,144.98000000000002,785.1800000000001,3
2.6,86.9,55.1,225.94000000000003,143.26000000000002,634.37,1
1.9,93.4,62.7,177.46,119.13,625.7800000000001,2
1.6,87.0,88.7,139.20000000000002,141.92000000000002,765.6,2
3.8,81.0,87.5,307.8,332.5,477.90000000000003,3
3.2,74.0,56.2,236.8,179.84000000000003,710.4,2
5.1,93.5,56.0,476.84999999999997,285.59999999999997,579.7,4
3.9,91.5,71.1,356.84999999999997,277.28999999999996,494.1,3
3.3,67.2,82.6,221.76,272.58,383.04,3
4.1,70.0,70.3,287.0,288.22999999999996,378.0,2
5.9,82.5,66.5,486.75000000000006,392.35,544.5,4
0.5,83.7,70.4,41.85,35.2,535.6800000000001,2
5.3,76.2,82.0,403.86,434.59999999999997,685.8000000000001,4
3.8,77.4,45.1,294.12,171.38,650.1600000000001,2
3.9,91.4,66.8,356.46000000000004,260.52,539.2600000000001,3
2.6,85.7,52.3,222.82000000000002,135.98,591.33,3
2.1,74.1,81.4,155.60999999999999,170.94000000000003,503.87999999999994,2
4.5,76.2,74.7,342.90000000000003,336.15000000000003,403.86,2
2.1,90.9,55.9,190.89000000000001,117.39,590.85,2
3.8,76.5,72.3,290.7,274.73999999999995,405.45,2
2.5,92.1,62.7,230.25,156.75,598.65,3
3.7,92.4,73.5,341.88000000000005,271.95,535.9200000000001,3
3.4,96.3,52.5,327.41999999999996,178.5,635.5799999999999,2
2.8,73.8,72.6,206.64,203.27999999999997,538.74,2
5.3,100.0,89.3,530.0,473.28999999999996,690.0,4
3.8,96.5,90.0,366.7,342.0,820.25,4
3.3,83.0,57.0,273.9,188.1,373.5,3
4.1,89.8,84.2,368.17999999999995,345.21999999999997,655.54,4
2.5,91.0,80.4,227.5,201.0,491.40000000000003,3
2.1,88.2,71.2,185.22000000000003,149.52,555.66,3
2.8,81.8,49.1,229.03999999999996,137.48,736.1999999999999,1
4.0,78.6,78.2,314.4,312.8,628.8,3
4.6,83.8,73.6,385.47999999999996,338.55999999999995,603.36,3
4.2,80.7,73.6,338.94000000000005,309.12,589.11,3
3.4,75.1,70.1,255.33999999999997,238.33999999999997,443.09,3
1.7,86.0,80.0,146.2,136.0,662.2,1
6.6,76.3,68.6,503.5799999999999,452.75999999999993,671.44,4
3.3,92.2,62.1,304.26,204.93,562.42,4
3.4,90.6,41.6,308.03999999999996,141.44,751.98,3
5.1,65.2,72.8,332.52,371.28,384.68000000000006,3
5.6,84.1,42.6,470.9599999999999,238.56,622.34,2
1.3,76.1,71.2,98.92999999999999,92.56,593.5799999999999,2
6.9,82.8,63.1,571.32,435.39000000000004,554.76,4
3.4,79.6,62.6,270.64,212.84,573.12,1
5.0,93.0,66.4,465.0,332.0,855.5999999999999,4
2.1,67.9,98.9,142.59000000000003,207.69000000000003,475.30000000000007,2
1.0,89.8,56.8,89.8,56.8,646.56,2
3.9,82.0,68.7,319.8,267.93,483.8,4
1.6,100.0,70.7,160.0,113.12,560.0,2
3.2,82.9,61.9,265.28000000000003,198.08,547.14,3
2.2,89.6,61.8,197.12,135.96,412.15999999999997,1
2.5,83.0,58.2,207.5,145.5,597.6,2
2.7,100.0,66.4,270.0,179.28000000000003,780.0,4
2.7,86.0,62.2,232.20000000000002,167.94000000000003,541.8,3
1.2,89.5,56.4,107.39999999999999,67.67999999999999,537.0,1
3.7,88.3,60.1,326.71,222.37,671.0799999999999,4
2.5,80.6,60.9,201.5,152.25,386.87999999999994,2
4.2,90.9,69.2,381.78000000000003,290.64000000000004,781.74,4
5.2,88.3,86.8,459.16,451.36,759.38,4
1.8,81.5,88.9,146.70000000000002,160.02,652.0,3
4.9,100.0,48.5,490.00000000000006,237.65,700.0,3
3.1,89.3,78.2,276.83,242.42000000000002,526.87,4
4.3,72.4,60.9,311.32,261.87,506.80000000000007,4
4.3,90.8,58.9,390.44,253.26999999999998,908.0,4
2.0,80.5,69.6,161.0,139.2,684.25,3
3.6,90.1,87.7,324.36,315.72,468.52,4
1.4,90.9,62.0,127.26,86.8,654.48,2
3.8,86.2,75.8,327.56,288.03999999999996,525.8199999999999,4
0.5,84.6,80.3,42.3,40.15,465.29999999999995,1
2.1,66.3,88.4,139.23,185.64000000000001,430.95,1
3.6,69.1,63.4,248.76,228.24,442.24,1
3.5,85.2,81.5,298.2,285.25,613.44,4
